"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"245";1;"245 Phibbs Exchange";1;134;0.0;24.0;26.0
"246";0;"246 Highland";2;46;0.0;7.0;10.0
"246";1;"246 Downtown";1;45;0.0;7.0;12.0
"246";1;"246 Marine & Capilano";1;1;0.0;0.0;0.0
"246";1;"246 Marine & Garden";1;2;0.0;0.0;0.0
"247";0;"247 Grouse Mountain";1;6;0.0;0.0;5.0
"247";1;"247 Downtown";1;4;0.0;0.0;0.0
"249";0;"249 Delbrook";1;46;0.0;6.0;10.0
"249";1;"249 Lonsdale Quay";1;48;0.0;6.0;14.0
"250";0;"250 Park Royal";1;2;0.0;0.0;0.0
"250";0;"250 Vancouver";3;109;0.0;18.0;27.0
"250";1;"250 Dundarave To 25th & Marine";2;71;0.0;12.0;18.0
"250";1;"250 Horseshoe Bay";2;49;0.0;6.0;11.0
"250";1;"250 Park Royal - Only";1;5;0.0;0.0;0.0
"250";1;"250 West Bay";2;2;0.0;0.0;0.0
"251";0;"251 Park Royal via Queens";1;25;0.0;3.0;6.0
"251";1;"251 Queens";1;25;0.0;4.0;5.0
"252";0;"252 Park Royal via Inglewood";1;24;0.0;3.0;6.0
"252";1;"252 Inglewood";1;26;0.0;3.0;6.0
"253";0;"253 Park Royal - Only";1;14;0.0;2.0;5.0
"253";0;"253 Vancouver";1;9;0.0;1.0;1.0
"253";1;"253 Caulfeild";1;10;0.0;3.0;0.0
"253";1;"253 Caulfeild ";1;13;0.0;1.0;6.0
"254";0;"254 British Properties";2;20;0.0;3.0;5.0
"254";1;"254 Park Royal - Only";1;13;0.0;3.0;4.0
"254";1;"254 Vancouver";2;7;0.0;0.0;1.0
"255";0;"255 Capilano University - via 15th St & Lonsdale";2;50;0.0;9.0;8.0
"255";1;"255 Dundarave - To 25th & Marine";2;44;0.0;9.0;8.0
"255";1;"255 Park Royal Only";1;7;0.0;0.0;0.0
"256";0;"256 21st To Whitby Estates";2;14;0.0;3.0;3.0
"256";0;"256 Park Royal";1;13;0.0;3.0;3.0
"256";1;"256 Park Royal";1;14;0.0;3.0;3.0
"257";0;"257 Vancouver Express";1;48;0.0;9.0;9.0
"257";1;"257 Horseshoe Bay  Express";1;48;0.0;9.0;9.0
